2023-12-16 10:26:22.489 [info] Log level: Info
2023-12-16 10:26:22.489 [info] Validating found git in: "git"
2023-12-16 10:26:22.489 [info] Using git "2.25.1" from "git"
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [10ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [3ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [12ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [3ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [8ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [3ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 10:26:22.489 [info] > git rev-parse --show-toplevel [5ms]
2023-12-16 10:43:34.055 [info] > git rev-parse --show-toplevel [5ms]
2023-12-16 11:01:23.687 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 11:03:05.417 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:03:07.694 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:03:10.972 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:03:12.906 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 11:03:14.378 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:03:22.903 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:03:26.153 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:03:54.471 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:12:47.399 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:16:20.725 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 11:19:17.945 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:19:34.997 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 11:19:46.267 [info] > git rev-parse --show-toplevel [2ms]
